age,income,target
27,12002000,1
38,20446000,1
52,9416000,1
37,7050000,0
60,6087000,0
63,11180000,0
44,4970000,0
37,11173000,1
23,12270000,1
59,10737000,1
65,8534000,0
44,11231000,0
44,9785000,0
59,7020000,0
50,17612000,1
25,8149000,0
49,12092000,1
67,3952000,0
53,14407000,1
44,15410000,1
48,9313000,0
36,11207000,0
55,11206000,0
29,7360000,0
37,11161000,1
34,6944000,0
39,7448000,0
39,13672000,1
26,12963000,0
53,7197000,1
38,7129000,1
64,7353000,1
29,11910000,1
53,6495000,0
33,10441000,0
47,11970000,1
45,8936000,1
39,13125000,1
53,8285000,0
59,8551000,1
33,6546000,0
58,13157000,1
33,7048000,0
39,10416000,1
36,8989000,0
68,6376000,0
25,7447000,1
38,14953000,1
45,9890000,0
56,6474000,0
45,10255000,0
63,8757000,1
54,30873000,1
53,10184000,1
54,8067000,0
32,15149000,1
46,4838000,0
49,9526000,0
32,18523000,1
24,8849000,1
26,5025000,1
54,8023000,0
54,15334000,0
32,10513000,0
54,6871000,1
56,7251000,0
60,7577000,1
63,10458000,0
58,14722000,1
31,13321000,1
57,10811000,0
38,5783000,1
42,5790000,1
55,11108000,1
48,5755000,0
39,8516000,1
65,10251000,1
32,6189000,0
23,6440000,0
27,8918000,1
61,10993000,0
40,13363000,1
42,11397000,0
55,9457000,1
44,7098000,1
46,6335000,0
21,7707000,1
31,10639000,0
61,10368000,0
39,4420000,1
33,7000000,0
38,14049000,0
39,9475000,0
32,5613000,0
32,21021000,1
51,9124000,1
25,10543000,0
32,10599000,1
43,8103000,0
45,7144000,0
62,19366000,1
64,13093000,1
34,12288000,1
46,11276000,1
21,6488000,0
48,14413000,1
32,6861000,0
29,10177000,0
52,5193000,0
34,4512000,0
44,10303000,0
24,6943000,0
58,4593000,1
56,11136000,0
48,19356000,1
61,14988000,1
40,8422000,0
32,9244000,1
29,12575000,0
30,13650000,1
30,8172000,1
38,9327000,0
29,10238000,1
45,11187000,0
32,8796000,0
48,8837000,0
39,14938000,1
54,14074000,1
48,10892000,1
64,16821000,1
43,8050000,0
38,16265000,0
52,11144000,1
48,28958000,0
43,6072000,1
45,7241000,1
47,10671000,0
32,10591000,0
34,18238000,0
60,7294000,0
53,12650000,1
23,13843000,0
62,11794000,0
55,6584000,1
28,15085000,0
55,14171000,1
48,11368000,0
65,9899000,1
45,9975000,1
45,8966000,0
37,11533000,1
33,9317000,1
47,6849000,0
61,6385000,1
61,7084000,1
53,9961000,1
46,9129000,1
47,9937000,0
36,10982000,1
53,7399000,1
38,15393000,1
35,8392000,1
61,7918000,0
52,10912000,0
36,4847000,1
61,6989000,1
67,12992000,0
37,5018000,0
43,13628000,1
45,15641000,1
55,8098000,1
61,10207000,0
44,13635000,0
59,7827000,0
45,12487000,1
65,7287000,1
37,7798000,1
43,6966000,0
43,10391000,1
66,13822000,1
48,8641000,1
27,5907000,0
25,6310000,1
48,10581000,1
56,17574000,0
44,10578000,0
51,8049000,1
56,12051000,0
47,8476000,0
60,8074000,1
53,6590000,1
52,15088000,1
56,3790000,0
50,12186000,1
23,7836000,0
39,7983000,0
30,16664000,1
41,7178000,1
32,7265000,1
41,8805000,0
36,10653000,0
26,7896000,0
25,5313000,1
41,6807000,1
27,14431000,0
57,9461000,1
60,10793000,0
53,8410000,1
32,7316000,1
55,16579000,1
48,8628000,1
43,7892000,0
25,13525000,0
49,7157000,0
56,7484000,0
23,9250000,0
25,9218000,0
39,10093000,0
43,19165000,1
43,10367000,0
42,4010000,0
30,10331000,0
23,9339000,1
22,9358000,1
23,10045000,0
50,9124000,1
57,9048000,1
38,11421000,0
24,7623000,0
41,6615000,0
69,26557000,1
30,7174000,0
44,9545000,0
43,5460000,1
36,9600000,1
41,6649000,1
46,7895000,1
43,13286000,1
58,10872000,0
46,11245000,1
21,4959000,0
21,17529000,1
39,6073000,0
60,15736000,1
21,13177000,0
23,11280000,0
56,6832000,1
45,9719000,0
29,7816000,0
35,9310000,0
49,8445000,0
45,4515000,1
49,13649000,1
34,8959000,1
48,7778000,1
62,7575000,1
37,10448000,1
41,6741000,0
31,4186000,0
48,10627000,0
23,11053000,0
30,8595000,0
56,6167000,1
22,9507000,1
68,5520000,1
41,6433000,0
38,7087000,0
44,12383000,0
54,8117000,1
41,7879000,0
58,18267000,1
64,10426000,0
35,10377000,0
52,8098000,1
39,7480000,0
66,4288000,1
36,12936000,1
37,10781000,0
51,8656000,1
58,8784000,1
27,11925000,0
45,5348000,0
38,7497000,1
46,6192000,1
49,17133000,0
69,12522000,1
61,4263000,1
51,5425000,0
54,8799000,1
59,7812000,0
30,5797000,0
53,18204000,1
53,10282000,0
30,10882000,0
61,7234000,1
56,11866000,1
38,8067000,0
47,8345000,0
48,11414000,0
64,5211000,1
