age,income,target
25,10871000,1
55,6797000,0
50,8067000,1
40,6453000,1
40,6202000,0
59,5011000,1
24,7653000,0
52,4886000,1
30,8310000,1
25,9625000,0
44,7484000,1
64,5955000,0
54,7717000,1
55,5909000,1
53,9133000,1
56,3468000,0
44,5853000,0
26,3280000,0
58,3901000,0
41,10610000,1
43,9005000,0
37,5118000,1
29,3891000,1
62,2332000,0
56,5443000,1
49,15358000,0
39,7665000,0
58,5412000,1
45,7747000,1
40,3812000,0
41,5932000,1
31,6816000,1
25,6388000,1
45,8682000,0
60,7427000,0
23,8318000,1
59,5174000,1
58,9014000,0
33,11642000,0
49,4688000,0
28,4825000,0
55,10507000,0
52,6157000,0
36,10760000,1
24,5638000,0
64,10955000,1
41,6893000,0
61,7206000,1
51,11383000,1
56,5800000,1
55,4736000,1
29,5627000,1
37,7712000,1
42,3806000,1
43,8229000,0
22,5452000,0
45,9838000,0
27,2848000,0
54,4999000,1
51,3648000,1
62,4930000,0
54,7179000,1
37,6183000,1
64,6024000,0
39,6226000,0
35,7069000,0
61,4625000,0
37,8431000,1
24,8301000,0
42,7533000,1
56,7999000,1
29,7303000,0
41,13420000,1
26,6385000,0
51,5912000,1
42,5057000,0
35,4587000,0
31,4259000,1
46,4823000,0
51,6422000,1
63,7400000,1
40,6702000,1
28,5036000,0
58,9021000,0
49,8527000,0
52,6225000,0
25,5238000,0
35,7976000,1
55,7031000,0
58,3966000,0
40,6428000,0
57,7215000,1
58,4805000,1
38,7035000,0
61,3956000,0
33,10508000,1
31,10189000,1
51,6026000,0
49,7476000,0
27,2832000,0
58,4392000,0
29,5940000,1
57,4523000,1
21,8453000,0
56,13244000,1
56,4361000,0
56,4911000,0
50,7148000,0
42,11570000,0
52,4292000,0
33,7183000,0
56,12453000,0
46,3693000,0
41,4204000,0
43,5676000,0
46,5486000,0
22,8749000,1
27,7164000,0
32,3537000,0
26,7884000,0
40,5378000,0
51,10284000,1
50,5285000,0
42,5268000,1
59,7956000,1
46,8598000,0
24,7701000,1
55,3649000,0
46,7947000,1
49,4584000,1
46,7148000,0
45,4000000,0
25,7696000,1
46,4964000,0
56,4202000,1
34,8451000,1
48,7164000,0
22,5310000,0
36,10940000,0
40,5642000,0
65,6657000,1
30,7233000,1
33,5299000,0
39,7763000,0
65,5462000,1
59,5700000,0
22,10606000,0
31,4574000,1
57,2829000,1
23,11569000,0
59,16067000,0
33,5712000,1
62,3342000,0
34,5905000,1
40,5955000,1
50,6160000,0
26,4458000,1
46,8063000,0
43,7910000,0
56,3902000,0
65,8408000,1
50,13503000,0
39,6991000,1
39,5850000,0
39,6264000,0
57,8165000,0
35,3592000,1
28,6973000,0
36,5742000,0
22,12569000,0
25,6194000,1
25,11802000,0
55,4474000,1
53,8085000,1
52,7362000,0
41,4857000,0
53,7005000,0
28,10063000,1
61,5878000,1
43,3641000,0
63,6543000,1
27,4800000,0
43,5840000,0
52,6398000,1
43,3624000,0
41,3740000,0
28,7793000,0
38,5482000,1
31,2683000,0
34,8664000,1
51,7241000,0
49,5128000,0
48,4152000,1
37,8820000,1
64,7439000,0
24,15156000,1
36,7626000,1
26,7540000,0
36,6209000,1
64,8761000,1
37,8193000,0
61,10202000,1
43,5485000,1
52,5652000,0
41,5567000,0
32,8682000,1
55,11122000,0
64,5606000,1
32,5674000,0
56,7348000,1
32,6040000,0
53,9186000,1
56,2993000,1
41,4929000,0
54,5006000,1
33,2922000,1
24,4698000,1
25,4779000,0
41,6136000,1
61,9718000,0
26,6042000,0
41,4589000,0
52,6453000,0
30,9504000,0
53,4678000,1
34,4786000,0
57,8004000,0
47,6092000,1
45,8257000,1
28,6552000,1
41,8415000,0
59,4582000,1
21,6555000,0
55,6115000,0
43,4301000,0
53,3809000,1
50,8369000,0
40,5822000,0
34,4603000,1
49,6365000,0
27,9770000,0
47,2963000,0
25,3899000,1
50,4766000,1
49,10978000,1
24,7267000,1
55,8611000,1
39,4417000,0
56,4449000,1
22,7700000,1
29,6719000,0
43,7977000,0
29,6164000,0
35,7256000,0
50,6958000,1
27,8643000,0
51,8732000,1
25,3734000,0
28,2998000,0
47,9347000,0
56,9976000,1
28,4606000,0
34,3433000,0
62,6815000,0
65,9118000,0
47,12350000,0
41,7887000,1
36,5780000,1
48,4816000,1
47,6609000,1
34,5928000,1
22,4615000,0
27,13485000,0
64,12296000,1
39,9797000,1
42,4769000,1
42,8880000,1
56,8235000,0
23,7686000,1
24,10195000,1
33,8222000,0
42,8529000,1
51,8227000,0
43,7417000,0
40,3526000,0
63,6779000,1
28,5419000,0
46,4206000,1
45,11859000,0
42,12057000,0
57,10593000,0
33,7198000,0
63,10561000,1
35,6611000,0
45,7067000,0
44,4490000,0
59,7564000,1
40,6724000,0
33,4173000,0
21,6466000,0
37,6402000,0
58,12350000,0
21,9002000,0
61,6609000,1
45,7182000,1
27,6686000,0
34,6132000,0
45,4507000,1
35,6244000,1
25,5070000,0
50,4250000,0
51,7873000,1
26,7549000,1
33,3522000,0
31,6306000,0
50,9328000,1
53,9537000,1
53,9427000,0
63,6673000,1
55,4897000,0
35,4505000,0
25,7427000,0
48,7518000,1
62,10330000,0
64,9674000,0
31,6285000,1
31,4259000,0
22,5887000,1
27,7103000,1
45,6133000,0
45,5378000,1
37,7192000,1
34,5518000,0
58,5284000,0
41,7341000,1
57,5719000,0
64,7170000,1
35,7244000,1
30,4418000,1
63,5563000,1
49,10889000,1
34,4383000,1
48,3138000,1
44,3431000,0
61,6650000,1
32,6655000,1
65,6318000,1
63,10069000,0
29,2583000,0
28,7561000,1
44,11370000,1
23,4436000,1
34,5764000,0
40,5058000,1
64,4814000,1
65,5873000,1
27,10849000,0
61,12523000,1
25,5853000,0
54,12823000,0
59,6665000,1
61,12162000,0
31,6371000,0
61,6892000,0
26,7481000,0
44,20027000,1
42,8868000,0
35,5139000,1
21,9241000,0
55,5800000,0
36,5546000,0
50,9048000,0
39,6655000,1
37,7257000,0
60,6615000,0
25,7406000,0
54,7639000,1
54,3342000,0
38,8313000,0
32,4668000,1
21,3974000,0
63,6450000,1
63,6779000,0
31,5164000,1
22,8805000,0
26,4115000,0
24,5709000,1
58,5364000,1
61,6477000,0
27,7258000,1
54,4626000,0
29,8482000,0
37,6730000,0
47,3395000,0
53,3317000,0
60,6555000,1
23,6093000,1
29,6349000,1
33,6519000,0
34,7124000,0
65,9172000,1
55,4462000,1
35,4368000,1
64,4490000,0
43,7283000,1
43,10178000,0
40,5661000,1
27,2743000,0
63,3626000,1
21,4918000,1
28,5416000,0
31,5706000,0
33,6672000,0
26,5903000,0
21,9504000,0
51,5196000,1
64,4868000,0
26,7784000,1
34,3846000,0
43,7545000,0
62,6824000,1
52,6252000,1
55,11477000,1
47,5295000,1
39,13539000,0
29,6084000,0
59,4210000,0
57,6746000,1
22,4517000,0
53,5060000,1
24,7564000,0
54,7996000,1
58,5295000,0
26,9301000,1
40,9871000,0
26,10883000,0
46,7923000,1
62,10609000,1
24,3408000,0
38,5890000,0
64,4860000,0
34,6864000,0
26,5390000,0
42,6211000,0
43,12721000,0
50,6203000,0
35,7609000,0
64,6069000,1
44,6760000,1
33,6597000,1
64,7701000,1
62,9898000,1
43,11717000,1
22,7336000,1
47,8092000,1
45,4400000,0
27,6384000,0
49,9149000,1
58,8914000,0
25,7089000,0
53,8978000,1
27,7817000,0
54,10020000,1
39,7285000,0
21,5812000,0
64,7404000,0
28,2360000,0
47,7527000,1
29,2000000,0
62,3601000,1
54,7711000,0
57,7781000,0
40,4383000,1
42,5131000,1
49,10635000,0
56,5557000,1
59,14433000,0
21,6579000,0
50,7594000,0
25,11593000,1
33,6892000,0
58,4635000,0
32,6335000,1
56,6501000,1
41,4083000,1
31,6019000,1
36,5077000,0
44,9098000,0
55,6663000,1
48,5963000,1
62,6343000,1
60,7118000,1
54,8169000,0
48,4639000,0
34,4572000,1
39,9690000,0
26,5698000,1
37,4009000,1
62,7689000,1
40,7742000,0
26,3853000,0
50,7134000,0
64,8516000,1
60,7505000,1
33,8213000,0
41,4027000,1
44,7392000,0
32,5921000,0
33,5560000,0
31,8928000,0
65,11048000,0
54,12336000,1
58,10430000,1
57,6335000,0
64,7448000,1
25,8610000,0
60,6868000,1
23,6891000,0
42,8783000,1
47,6448000,0
37,5100000,0
27,5694000,0
29,8218000,1
58,6590000,1
35,7415000,1
34,8323000,0
62,5774000,0
27,8578000,1
62,7516000,0
62,4273000,0
47,10906000,1
28,5525000,1
28,3688000,1
33,4566000,0
46,4605000,1
27,6704000,1
41,5981000,0
26,5851000,0
45,8177000,0
21,7415000,0
52,7353000,0
23,7598000,1
29,8167000,0
28,3148000,0
58,5795000,0
23,3069000,1
40,6667000,0
47,6572000,0
44,9492000,0
51,9976000,1
57,7067000,1
38,5525000,1
58,7801000,1
35,5472000,0
65,6580000,0
43,9296000,0
54,5416000,0
60,8727000,0
56,8344000,0
59,4713000,1
45,9257000,1
22,8406000,1
43,6822000,0
29,5041000,0
61,4873000,1
31,5454000,0
31,7960000,1
32,4712000,0
49,7672000,0
46,4263000,0
63,6129000,0
39,6841000,1
33,15491000,1
23,4065000,1
21,11020000,0
37,6937000,1
62,7602000,0
44,6861000,0
61,7692000,0
25,6238000,0
25,10951000,1
58,5611000,1
25,9784000,0
23,5254000,0
39,6446000,1
62,4524000,1
52,7719000,1
25,10917000,1
58,6407000,1
58,6145000,1
57,4457000,1
61,6075000,0
31,3770000,1
65,4783000,0
35,7127000,0
57,10445000,1
47,17597000,0
56,5361000,1
49,10879000,1
49,7169000,0
48,6244000,0
56,7659000,0
54,6727000,1
27,6842000,0
58,5706000,1
45,4036000,1
35,3835000,1
44,8274000,0
64,5975000,1
59,5343000,0
58,6603000,0
41,8695000,0
56,7012000,0
38,5232000,0
51,10112000,1
49,11441000,1
32,7827000,0
