age,income,target,lama_bekerja_tahun
25,10871000,1,5
55,6797000,0,32
50,8067000,1,28
40,6453000,1,21
40,6202000,0,18
59,5011000,1,37
24,7653000,0,1
52,4886000,1,33
30,8310000,1,11
25,9625000,0,5
44,7484000,1,24
64,5955000,0,40
54,7717000,1,31
55,5909000,1,34
53,9133000,1,32
56,3468000,0,32
44,5853000,0,23
26,3280000,0,7
58,3901000,0,40
41,10610000,1,21
43,9005000,0,21
37,5118000,1,16
29,3891000,1,9
62,2332000,0,40
56,5443000,1,32
49,15358000,0,25
39,7665000,0,20
58,5412000,1,40
45,7747000,1,26
40,3812000,0,17
41,5932000,1,20
31,6816000,1,7
25,6388000,1,3
45,8682000,0,24
60,7427000,0,40
23,8318000,1,3
59,5174000,1,40
58,9014000,0,37
33,11642000,0,14
49,4688000,0,29
28,4825000,0,10
55,10507000,0,32
52,6157000,0,28
36,10760000,1,15
24,5638000,0,3
64,10955000,1,40
41,6893000,0,20
61,7206000,1,39
51,11383000,1,31
56,5800000,1,35
55,4736000,1,34
29,5627000,1,7
37,7712000,1,15
42,3806000,1,21
43,8229000,0,25
22,5452000,0,0
45,9838000,0,21
27,2848000,0,8
54,4999000,1,34
51,3648000,1,27
62,4930000,0,40
54,7179000,1,31
37,6183000,1,14
64,6024000,0,40
39,6226000,0,21
35,7069000,0,14
61,4625000,0,40
37,8431000,1,14
24,8301000,0,5
42,7533000,1,22
56,7999000,1,37
29,7303000,0,6
41,13420000,1,17
26,6385000,0,8
51,5912000,1,32
42,5057000,0,22
35,4587000,0,11
31,4259000,1,10
46,4823000,0,27
51,6422000,1,31
63,7400000,1,40
40,6702000,1,20
28,5036000,0,10
58,9021000,0,35
49,8527000,0,29
52,6225000,0,33
25,5238000,0,2
35,7976000,1,12
55,7031000,0,36
58,3966000,0,40
40,6428000,0,22
57,7215000,1,34
58,4805000,1,36
38,7035000,0,15
61,3956000,0,39
33,10508000,1,13
31,10189000,1,9
51,6026000,0,28
49,7476000,0,29
27,2832000,0,3
58,4392000,0,34
29,5940000,1,6
57,4523000,1,33
